00:18:13.542 logback [http-nio-9999-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
00:18:13.543 logback [http-nio-9999-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
00:18:13.645 logback [http-nio-9999-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 101 ms
00:18:14.202 logback [http-nio-9999-exec-1] INFO  com.web.RabbitController - 发送信息中
00:18:14.265 logback [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] WARN  o.s.a.s.c.Jackson2JsonMessageConverter - Could not convert incoming message with content-type [application/octet-stream], 'json' keyword missing.
00:18:14.217 logback [AMQP Connection 127.0.0.1:5672] INFO  com.config.RabbitmqConfig - 消息发送成功:correlationData: (null) , ack : (true) ,cause: (null)
00:18:27.418 logback [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  com.rabbitListener.CommonListener - 接收到消息：123你好
00:19:19.474 logback [http-nio-9999-exec-4] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.dao]' package. Please check your configuration.
00:19:24.024 logback [http-nio-9999-exec-4] WARN  o.s.a.r.l.SimpleMessageListenerContainer - 'missingQueuesFatal' is ignored during the initial start(), for lazily loaded containers
00:19:24.856 logback [http-nio-9999-exec-4] INFO  com.web.RabbitController - 发送对象成功
00:19:24.866 logback [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] WARN  o.s.a.s.c.Jackson2JsonMessageConverter - Could not convert incoming message with content-type [application/octet-stream], 'json' keyword missing.
00:19:24.871 logback [AMQP Connection 127.0.0.1:5672] INFO  com.config.RabbitmqConfig - 消息发送成功:correlationData: (null) , ack : (true) ,cause: (null)
00:19:24.875 logback [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  com.rabbitListener.CommonListener - 接收到信息：User(name=邱玉豪, nickName=null, classNo=he_no123)
